link,DexNum,name,form,,DexNum,Name,Move JSON
https://www.serebii.net/pokedex-sm/001.shtml,1,Bind,,,1,Bind,"{""name"": Bind""}"
https://www.serebii.net/pokedex-sm/001.shtml,1,Giga Drain,,,1,Giga Drain,"{""name"": Giga Drain""}"
https://www.serebii.net/pokedex-sm/001.shtml,1,Knock Off,,,1,Knock Off,"{""name"": Knock Off""}"
https://www.serebii.net/pokedex-sm/001.shtml,1,Seed Bomb,,,1,Seed Bomb,"{""name"": Seed Bomb""}"
https://www.serebii.net/pokedex-sm/001.shtml,1,Snore,,,1,Snore,"{""name"": Snore""}"
https://www.serebii.net/pokedex-sm/001.shtml,1,Synthesis,,,1,Synthesis,"{""name"": Synthesis""}"
https://www.serebii.net/pokedex-sm/001.shtml,1,Worry Seed,,,1,Worry Seed,"{""name"": Worry Seed""}"
https://www.serebii.net/pokedex-sm/002.shtml,2,Bind,,,2,Bind,"{""name"": Bind""}"
https://www.serebii.net/pokedex-sm/002.shtml,2,Giga Drain,,,2,Giga Drain,"{""name"": Giga Drain""}"
https://www.serebii.net/pokedex-sm/002.shtml,2,Knock Off,,,2,Knock Off,"{""name"": Knock Off""}"
https://www.serebii.net/pokedex-sm/002.shtml,2,Seed Bomb,,,2,Seed Bomb,"{""name"": Seed Bomb""}"
https://www.serebii.net/pokedex-sm/002.shtml,2,Snore,,,2,Snore,"{""name"": Snore""}"
https://www.serebii.net/pokedex-sm/002.shtml,2,Synthesis,,,2,Synthesis,"{""name"": Synthesis""}"
https://www.serebii.net/pokedex-sm/002.shtml,2,Worry Seed,,,2,Worry Seed,"{""name"": Worry Seed""}"
https://www.serebii.net/pokedex-sm/003.shtml,3,Bind,,,3,Bind,"{""name"": Bind""}"
https://www.serebii.net/pokedex-sm/003.shtml,3,Block,,,3,Block,"{""name"": Block""}"
https://www.serebii.net/pokedex-sm/003.shtml,3,Giga Drain,,,3,Giga Drain,"{""name"": Giga Drain""}"
https://www.serebii.net/pokedex-sm/003.shtml,3,Knock Off,,,3,Knock Off,"{""name"": Knock Off""}"
https://www.serebii.net/pokedex-sm/003.shtml,3,Outrage,,,3,Outrage,"{""name"": Outrage""}"
https://www.serebii.net/pokedex-sm/003.shtml,3,Seed Bomb,,,3,Seed Bomb,"{""name"": Seed Bomb""}"
https://www.serebii.net/pokedex-sm/003.shtml,3,Snore,,,3,Snore,"{""name"": Snore""}"
https://www.serebii.net/pokedex-sm/003.shtml,3,Stomping Tantrum,,,3,Stomping Tantrum,"{""name"": Stomping Tantrum""}"
https://www.serebii.net/pokedex-sm/003.shtml,3,Synthesis,,,3,Synthesis,"{""name"": Synthesis""}"
https://www.serebii.net/pokedex-sm/003.shtml,3,Worry Seed,,,3,Worry Seed,"{""name"": Worry Seed""}"
https://www.serebii.net/pokedex-sm/004.shtml,4,Dragon Pulse,,,4,Dragon Pulse,"{""name"": Dragon Pulse""}"
https://www.serebii.net/pokedex-sm/004.shtml,4,Fire Punch,,,4,Fire Punch,"{""name"": Fire Punch""}"
https://www.serebii.net/pokedex-sm/004.shtml,4,Focus Punch,,,4,Focus Punch,"{""name"": Focus Punch""}"
https://www.serebii.net/pokedex-sm/004.shtml,4,Heat Wave,,,4,Heat Wave,"{""name"": Heat Wave""}"
https://www.serebii.net/pokedex-sm/004.shtml,4,Iron Tail,,,4,Iron Tail,"{""name"": Iron Tail""}"
https://www.serebii.net/pokedex-sm/004.shtml,4,Snore,,,4,Snore,"{""name"": Snore""}"
https://www.serebii.net/pokedex-sm/004.shtml,4,Thunder Punch,,,4,Thunder Punch,"{""name"": Thunder Punch""}"
https://www.serebii.net/pokedex-sm/005.shtml,5,Dragon Pulse,,,5,Dragon Pulse,"{""name"": Dragon Pulse""}"
https://www.serebii.net/pokedex-sm/005.shtml,5,Fire Punch,,,5,Fire Punch,"{""name"": Fire Punch""}"
https://www.serebii.net/pokedex-sm/005.shtml,5,Focus Punch,,,5,Focus Punch,"{""name"": Focus Punch""}"
https://www.serebii.net/pokedex-sm/005.shtml,5,Heat Wave,,,5,Heat Wave,"{""name"": Heat Wave""}"
https://www.serebii.net/pokedex-sm/005.shtml,5,Iron Tail,,,5,Iron Tail,"{""name"": Iron Tail""}"
https://www.serebii.net/pokedex-sm/005.shtml,5,Snore,,,5,Snore,"{""name"": Snore""}"
https://www.serebii.net/pokedex-sm/005.shtml,5,Thunder Punch,,,5,Thunder Punch,"{""name"": Thunder Punch""}"
https://www.serebii.net/pokedex-sm/006.shtml,6,Defog,,,6,Defog,"{""name"": Defog""}"
https://www.serebii.net/pokedex-sm/006.shtml,6,Dragon Pulse,,,6,Dragon Pulse,"{""name"": Dragon Pulse""}"
https://www.serebii.net/pokedex-sm/006.shtml,6,Fire Punch,,,6,Fire Punch,"{""name"": Fire Punch""}"
https://www.serebii.net/pokedex-sm/006.shtml,6,Focus Punch,,,6,Focus Punch,"{""name"": Focus Punch""}"
https://www.serebii.net/pokedex-sm/006.shtml,6,Heat Wave,,,6,Heat Wave,"{""name"": Heat Wave""}"
https://www.serebii.net/pokedex-sm/006.shtml,6,Iron Tail,,,6,Iron Tail,"{""name"": Iron Tail""}"
https://www.serebii.net/pokedex-sm/006.shtml,6,Outrage,,,6,Outrage,"{""name"": Outrage""}"
https://www.serebii.net/pokedex-sm/006.shtml,6,Snore,,,6,Snore,"{""name"": Snore""}"
https://www.serebii.net/pokedex-sm/006.shtml,6,Tailwind,,,6,Tailwind,"{""name"": Tailwind""}"
https://www.serebii.net/pokedex-sm/006.shtml,6,Thunder Punch,,,6,Thunder Punch,"{""name"": Thunder Punch""}"
https://www.serebii.net/pokedex-sm/007.shtml,7,Aqua Tail,,,7,Aqua Tail,"{""name"": Aqua Tail""}"
https://www.serebii.net/pokedex-sm/007.shtml,7,Dragon Pulse,,,7,Dragon Pulse,"{""name"": Dragon Pulse""}"
https://www.serebii.net/pokedex-sm/007.shtml,7,Focus Punch,,,7,Focus Punch,"{""name"": Focus Punch""}"
https://www.serebii.net/pokedex-sm/007.shtml,7,Ice Punch,,,7,Ice Punch,"{""name"": Ice Punch""}"
https://www.serebii.net/pokedex-sm/007.shtml,7,Icy Wind,,,7,Icy Wind,"{""name"": Icy Wind""}"
https://www.serebii.net/pokedex-sm/007.shtml,7,Iron Defense,,,7,Iron Defense,"{""name"": Iron Defense""}"
https://www.serebii.net/pokedex-sm/007.shtml,7,Iron Tail,,,7,Iron Tail,"{""name"": Iron Tail""}"
https://www.serebii.net/pokedex-sm/007.shtml,7,Snore,,,7,Snore,"{""name"": Snore""}"
https://www.serebii.net/pokedex-sm/007.shtml,7,Water Pulse,,,7,Water Pulse,"{""name"": Water Pulse""}"
https://www.serebii.net/pokedex-sm/007.shtml,7,Zen Headbutt,,,7,Zen Headbutt,"{""name"": Zen Headbutt""}"
https://www.serebii.net/pokedex-sm/008.shtml,8,Aqua Tail,,,8,Aqua Tail,"{""name"": Aqua Tail""}"
https://www.serebii.net/pokedex-sm/008.shtml,8,Dragon Pulse,,,8,Dragon Pulse,"{""name"": Dragon Pulse""}"
https://www.serebii.net/pokedex-sm/008.shtml,8,Focus Punch,,,8,Focus Punch,"{""name"": Focus Punch""}"
https://www.serebii.net/pokedex-sm/008.shtml,8,Ice Punch,,,8,Ice Punch,"{""name"": Ice Punch""}"
https://www.serebii.net/pokedex-sm/008.shtml,8,Icy Wind,,,8,Icy Wind,"{""name"": Icy Wind""}"
https://www.serebii.net/pokedex-sm/008.shtml,8,Iron Defense,,,8,Iron Defense,"{""name"": Iron Defense""}"
https://www.serebii.net/pokedex-sm/008.shtml,8,Iron Tail,,,8,Iron Tail,"{""name"": Iron Tail""}"
https://www.serebii.net/pokedex-sm/008.shtml,8,Snore,,,8,Snore,"{""name"": Snore""}"
https://www.serebii.net/pokedex-sm/008.shtml,8,Water Pulse,,,8,Water Pulse,"{""name"": Water Pulse""}"
https://www.serebii.net/pokedex-sm/008.shtml,8,Zen Headbutt,,,8,Zen Headbutt,"{""name"": Zen Headbutt""}"
https://www.serebii.net/pokedex-sm/009.shtml,9,Aqua Tail,,,9,Aqua Tail,"{""name"": Aqua Tail""}"
https://www.serebii.net/pokedex-sm/009.shtml,9,Dragon Pulse,,,9,Dragon Pulse,"{""name"": Dragon Pulse""}"
https://www.serebii.net/pokedex-sm/009.shtml,9,Focus Punch,,,9,Focus Punch,"{""name"": Focus Punch""}"
https://www.serebii.net/pokedex-sm/009.shtml,9,Ice Punch,,,9,Ice Punch,"{""name"": Ice Punch""}"
https://www.serebii.net/pokedex-sm/009.shtml,9,Icy Wind,,,9,Icy Wind,"{""name"": Icy Wind""}"
https://www.serebii.net/pokedex-sm/009.shtml,9,Iron Defense,,,9,Iron Defense,"{""name"": Iron Defense""}"
https://www.serebii.net/pokedex-sm/009.shtml,9,Iron Tail,,,9,Iron Tail,"{""name"": Iron Tail""}"
https://www.serebii.net/pokedex-sm/009.shtml,9,Liquidation,,,9,Liquidation,"{""name"": Liquidation""}"
https://www.serebii.net/pokedex-sm/009.shtml,9,Outrage,,,9,Outrage,"{""name"": Outrage""}"
https://www.serebii.net/pokedex-sm/009.shtml,9,Signal Beam,,,9,Signal Beam,"{""name"": Signal Beam""}"
https://www.serebii.net/pokedex-sm/009.shtml,9,Snore,,,9,Snore,"{""name"": Snore""}"
https://www.serebii.net/pokedex-sm/009.shtml,9,Water Pulse,,,9,Water Pulse,"{""name"": Water Pulse""}"
https://www.serebii.net/pokedex-sm/009.shtml,9,Zen Headbutt,,,9,Zen Headbutt,"{""name"": Zen Headbutt""}"
https://www.serebii.net/pokedex-sm/010.shtml,10,Bug Bite,,,10,Bug Bite,"{""name"": Bug Bite""}"
https://www.serebii.net/pokedex-sm/010.shtml,10,Electroweb,,,10,Electroweb,"{""name"": Electroweb""}"
https://www.serebii.net/pokedex-sm/010.shtml,10,Snore,,,10,Snore,"{""name"": Snore""}"
https://www.serebii.net/pokedex-sm/011.shtml,11,Bug Bite,,,11,Bug Bite,"{""name"": Bug Bite""}"
https://www.serebii.net/pokedex-sm/011.shtml,11,Electroweb,,,11,Electroweb,"{""name"": Electroweb""}"
https://www.serebii.net/pokedex-sm/011.shtml,11,Iron Defense,,,11,Iron Defense,"{""name"": Iron Defense""}"
https://www.serebii.net/pokedex-sm/012.shtml,12,Bug Bite,,,12,Bug Bite,"{""name"": Bug Bite""}"
https://www.serebii.net/pokedex-sm/012.shtml,12,Defog,,,12,Defog,"{""name"": Defog""}"
https://www.serebii.net/pokedex-sm/012.shtml,12,Electroweb,,,12,Electroweb,"{""name"": Electroweb""}"
https://www.serebii.net/pokedex-sm/012.shtml,12,Giga Drain,,,12,Giga Drain,"{""name"": Giga Drain""}"
https://www.serebii.net/pokedex-sm/012.shtml,12,Signal Beam,,,12,Signal Beam,"{""name"": Signal Beam""}"
https://www.serebii.net/pokedex-sm/012.shtml,12,Skill Swap,,,12,Skill Swap,"{""name"": Skill Swap""}"
https://www.serebii.net/pokedex-sm/012.shtml,12,Snore,,,12,Snore,"{""name"": Snore""}"
https://www.serebii.net/pokedex-sm/012.shtml,12,Tailwind,,,12,Tailwind,"{""name"": Tailwind""}"
https://www.serebii.net/pokedex-sm/013.shtml,13,Bug Bite,,,13,Bug Bite,"{""name"": Bug Bite""}"
https://www.serebii.net/pokedex-sm/013.shtml,13,Electroweb,,,13,Electroweb,"{""name"": Electroweb""}"
https://www.serebii.net/pokedex-sm/014.shtml,14,Bug Bite,,,14,Bug Bite,"{""name"": Bug Bite""}"
https://www.serebii.net/pokedex-sm/014.shtml,14,Electroweb,,,14,Electroweb,"{""name"": Electroweb""}"
https://www.serebii.net/pokedex-sm/014.shtml,14,Iron Defense,,,14,Iron Defense,"{""name"": Iron Defense""}"
https://www.serebii.net/pokedex-sm/015.shtml,15,Bug Bite,,,15,Bug Bite,"{""name"": Bug Bite""}"
https://www.serebii.net/pokedex-sm/015.shtml,15,Defog,,,15,Defog,"{""name"": Defog""}"
https://www.serebii.net/pokedex-sm/015.shtml,15,Drill Run,,,15,Drill Run,"{""name"": Drill Run""}"
https://www.serebii.net/pokedex-sm/015.shtml,15,Electroweb,,,15,Electroweb,"{""name"": Electroweb""}"
https://www.serebii.net/pokedex-sm/015.shtml,15,Endeavor,,,15,Endeavor,"{""name"": Endeavor""}"
https://www.serebii.net/pokedex-sm/015.shtml,15,Giga Drain,,,15,Giga Drain,"{""name"": Giga Drain""}"
https://www.serebii.net/pokedex-sm/015.shtml,15,Knock Off,,,15,Knock Off,"{""name"": Knock Off""}"
https://www.serebii.net/pokedex-sm/015.shtml,15,Laser Focus,,,15,Laser Focus,"{""name"": Laser Focus""}"
https://www.serebii.net/pokedex-sm/015.shtml,15,Snore,,,15,Snore,"{""name"": Snore""}"
